,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
536,76293,"Buckhalter, Joe",Joe Buckhalter,0,1961,1962,HISTADD_joe_buckhalter,0,,,,,Y,0
537,76294,"Bucknall, Steve",Steve Bucknall,0,1989,1989,HISTADD_steve_bucknall,0,,,,,Y,0
538,76295,"Buckner, Cleveland",Cleveland Buckner,0,1961,1962,HISTADD_cleveland_buckner,0,,,,,Y,0
539,1761,"Buckner, Greg",Greg Buckner,0,1999,2008,greg_buckner,0,,,,,Y,0
540,76296,"Buckner, Quinn",Quinn Buckner,0,1976,1985,HISTADD_quinn_buckner,0,,,,,Y,0
541,76297,"Budd, Dave",Dave Budd,0,1960,1964,HISTADD_dave_budd,0,,,,,Y,0
542,201978,"Budinger, Chase",Chase Budinger,0,2009,2015,chase_budinger,0,,,,,Y,0
543,76298,"Budko, Walter",Walter Budko,0,1948,1951,HISTADD_walt_budko,0,,,,,Y,0
544,146,"Buechler, Jud",Jud Buechler,1,1990,2001,jud_buechler,1610612751,New Jersey,Nets,NJN,nets,Y,0
545,1934,"Buford, Rodney",Rodney Buford,0,1999,2004,rodney_buford,0,,,,,Y,0
546,672,"Bullard, Matt",Matt Bullard,1,1990,2001,matt_bullard,1610612745,Houston,Rockets,HOU,rockets,Y,0
547,203493,"Bullock, Reggie",Reggie Bullock,0,2013,2019,reggie_bullock,0,,,,,Y,1
548,76300,"Bunch, Greg",Greg Bunch,0,1978,1978,HISTADD_greg_bunch,0,,,,,Y,0
